name,value_p10,ci_p10,value_map,ci_map,value_bpref,ci_bpref,value_rbp,ci_rbp,value_cov,ci_cov,value_urbp,ci_urbp,value_urbpgr,ci_urbpgr,value_trbp,ci_trbp,value_trbpgr,ci_trbpgr,value_crbp,ci_crbp,value_crbpgr,ci_crbpgr
ecnu3,0.293333333333,0.0356559015465,0.106348,0.0135436153671,0.170251666667,0.0196323875243,0.277009,0.0336611120795,9.90666666667,0.0621226141714,0.0967956666667,0.017571613433,0.105927666667,0.0137205652471,0.126753666667,0.0216241076103,0.119933333333,0.0170578424043,0.02569,0.00961037663026,0.0486116666667,0.0081425607598
WHUIRGroup2,0.184,0.0273481158853,0.0579276666667,0.00876416920601,0.133783,0.0167212732951,0.185782,0.0267359599583,7.82,0.31266438691,0.0775726666667,0.0140308152034,0.078764,0.011730323125,0.086727,0.0168460810888,0.0854166666667,0.0138469849681,0.0203976666667,0.00847063170457,0.0391196666667,0.00755031480154
GUIR2,0.280666666667,0.0350090019714,0.107449666667,0.0140233307918,0.173363666667,0.0207890249826,0.272258333333,0.0337016347167,9.39666666667,0.152378047644,0.0932386666667,0.0175282937679,0.102815333333,0.0134018298407,0.124330333333,0.0209028886368,0.116899333333,0.0165013592415,0.0204806666667,0.00880819596705,0.045603,0.00749084128221
KISTI3,0.242666666667,0.0353562858843,0.0898343333333,0.0130265601531,0.163744,0.0210280052521,0.227357,0.0327969012361,8.97666666667,0.165555782046,0.0920596666667,0.0194600747484,0.0922103333333,0.0143516864928,0.109148333333,0.0212901444943,0.104761333333,0.0175173608662,0.028155,0.0119810180702,0.045788,0.00930236447934
InfoLab3,0.235333333333,0.0335721443962,0.088441,0.0123209025053,0.14847,0.0190231037576,0.209948,0.0301017742689,9.08,0.174350965134,0.0579483333333,0.0137864060744,0.0760773333333,0.0122619542563,0.0925526666667,0.0186551856029,0.0889616666667,0.0151426352154,0.0205066666667,0.0100543893743,0.0351863333333,0.00802373533399
MRIM1,0.251333333333,0.0341863867438,0.0864766666667,0.0119817762989,0.142777,0.0182572039399,0.238738333333,0.0323023244972,9.91666666667,0.0409903068158,0.098846,0.0183254700291,0.097396,0.0135087348018,0.118315,0.0220240952435,0.106434666667,0.0166567883008,0.027457,0.00989997629039,0.0467666666667,0.00820542751414
WHUIRGroup3,0.09,0.0173223079111,0.0221303333333,0.00338830511272,0.104077,0.0142425586104,0.099611,0.0189585940984,6.49,0.271154521374,0.0349616666667,0.0100277394713,0.0392403333333,0.00778799535386,0.05557,0.0124061529379,0.048747,0.0101339799168,0.00945933333333,0.00425932215192,0.0202023333333,0.00430236425958
terrier.LMDir2,0.225333333333,0.0352300404103,0.0671946666667,0.0114175056622,0.139901,0.0196871859913,0.219222,0.0332366507034,8.33333333333,0.214599009741,0.094523,0.0198077472242,0.0923796666667,0.0147515969517,0.114982333333,0.0233624164151,0.103436333333,0.0180476673309,0.033976,0.0125653537136,0.047944,0.00963286602527
ecnu2,0.279333333333,0.033408679136,0.100204666667,0.0137814917443,0.182288333333,0.0198663565926,0.281153666667,0.0326743170938,8.05666666667,0.252442181685,0.104348333333,0.0179249360911,0.108825,0.0130352451786,0.142218333333,0.0222408845026,0.129898333333,0.0172149895448,0.0230803333333,0.00861680726009,0.0514166666667,0.00753156225876
MayoNLP3,0.269333333333,0.0350521387331,0.0862456666667,0.0114847354716,0.154624666667,0.0184864467,0.256980666667,0.0331492625441,9.07666666667,0.16896307928,0.0977426666667,0.0177736666303,0.0996393333333,0.0135311941923,0.120653666667,0.0205042139663,0.111662333333,0.016489098924,0.026031,0.0102616257939,0.046769,0.0082764633095
CUNI1,0.25,0.0341740921779,0.0863846666667,0.0119763143923,0.142078333333,0.0182593135858,0.240026,0.0323099896321,9.96,0.0258856580752,0.099283,0.0183432000231,0.0978876666667,0.0135274147324,0.117675666667,0.0219304344686,0.106459666667,0.0165769950185,0.027411,0.00988657980038,0.0467296666667,0.00818075300992
KDEIR2,0.228,0.0300999496425,0.0409643333333,0.00577021497306,0.089696,0.0088684666689,0.223133666667,0.0285970973904,9.08,0.139088470577,0.0676716666667,0.0140819268386,0.0802333333333,0.0116127801489,0.139069333333,0.0229007596445,0.117272666667,0.017666810433,0.0196616666667,0.00972249553475,0.044174,0.00800299634078
MRIM3,0.138333333333,0.0240251175094,0.0411766666667,0.00785151201905,0.111505333333,0.0144630655375,0.13758,0.0241430848345,7.3,0.283608850253,0.0638183333333,0.0147856450951,0.0628423333333,0.0122539578807,0.0742326666667,0.017439335786,0.0666723333333,0.0141068399492,0.0297213333333,0.0111618356812,0.0350826666667,0.00861230008598
indri.LMDir2,0.251666666667,0.0364714749948,0.0934946666667,0.0140280812516,0.164703,0.021916615311,0.236846,0.034050963084,8.79,0.198406547998,0.0894306666667,0.0183740298561,0.0922133333333,0.0140300226866,0.11356,0.0223594548314,0.107305666667,0.0179033717735,0.022511,0.00965888563888,0.043689,0.00836027590211
ub-botswana2,0.192666666667,0.0285383402034,0.0636236666667,0.0115673194019,0.138811,0.0196999848753,0.205507333333,0.0284663212495,7.15,0.32016700627,0.0893286666667,0.0168495443105,0.0837683333333,0.0118574217857,0.118331,0.0204278936902,0.103186666667,0.0164390802584,0.020629,0.00643773462368,0.04199,0.00638908611649
KDEIR1,0.228,0.0300999496425,0.0409653333333,0.00577015642794,0.0896956666667,0.00886831854732,0.223133666667,0.0285970973904,9.08,0.139088470577,0.0676716666667,0.0140819268386,0.0802333333333,0.0116127801489,0.139069333333,0.0229007596445,0.117272666667,0.017666810433,0.0196616666667,0.00972249553475,0.044174,0.00800299634078
terrier.BM25spam80,0.244,0.0296041647927,0.0402793333333,0.00542715315789,0.0833996666667,0.00815009430852,0.244930666667,0.029202830172,8.86666666667,0.162639293085,0.0772046666667,0.0136286658828,0.0915146666667,0.011991091639,0.139276333333,0.0215986115774,0.123053666667,0.0167337639447,0.0245793333333,0.00993143508126,0.0477563333333,0.00799049122743
indri.TFIDF2,0.266666666667,0.0382045006424,0.108404,0.0172110292347,0.196476,0.0244287524444,0.251302,0.0351990872289,8.64,0.208315847149,0.086616,0.0182975199839,0.095797,0.0147458096065,0.117112666667,0.0212015099408,0.111224,0.0174221083719,0.02177,0.00955814242434,0.0449573333333,0.00858952372729
terrier.LMDir1,0.25,0.0341740921779,0.0863846666667,0.0119763143923,0.142078333333,0.0182593135858,0.240026,0.0323099896321,9.96,0.0258856580752,0.099283,0.0183432000231,0.0978876666667,0.0135274147324,0.117675666667,0.0219304344686,0.106459666667,0.0165769950185,0.027411,0.00988657980038,0.0467296666667,0.00818075300992
indri.OKAPI2,0.258,0.0374996802555,0.103839666667,0.016282620571,0.193492,0.0242179010061,0.248415666667,0.0351044420134,8.63666666667,0.210406572812,0.087158,0.0185740790521,0.0939323333333,0.0146046317095,0.116676666667,0.0212817559724,0.109633333333,0.01744737566,0.0223516666667,0.00924288781894,0.044881,0.0084653079258
WHUIRGroup1,0.25,0.0333945468684,0.0840906666667,0.0114561441912,0.148216666667,0.0189834444243,0.235790666667,0.031740572444,9.68,0.0864943165637,0.09775,0.0176633220469,0.0976626666667,0.0137013955633,0.117615,0.0218951435418,0.108771333333,0.0171490940382,0.031852,0.0120404804214,0.0489606666667,0.00920077377212
indri.OKAPI1,0.275,0.0355563708968,0.0967156666667,0.0133987046969,0.166272,0.0201414974313,0.260096666667,0.0337685289084,9.68,0.073545181512,0.0907326666667,0.0173826684179,0.0982183333333,0.0139892286277,0.117653,0.0210042139595,0.113113333333,0.0172013319392,0.023731,0.00927844107946,0.045983,0.00835227388332
terrier.BM25uCLI,0.087,0.0176791605169,0.044862,0.00736519455011,0.135693333333,0.0177658725989,0.0783646666667,0.0166514146351,6.86666666667,0.248010451716,0.0136936666667,0.00484698662976,0.0214926666667,0.0051655920639,0.0170773333333,0.00592367448282,0.0220523333333,0.00570279456569,0.000201333333333,0.000281472555678,0.00666366666667,0.00175700097773
InfoLab1,0.291,0.0352044385683,0.103480333333,0.0134966977256,0.165756333333,0.0194029431548,0.274018333333,0.0331257889317,10.0,0.0,0.0928456666667,0.0171749218236,0.103404333333,0.0136615774072,0.120833666667,0.0211436977062,0.116710333333,0.0166249466565,0.0239286666667,0.00977774062173,0.0467693333333,0.00815862543176
terrier.TFIDF1,0.290333333333,0.0351038943721,0.102924333333,0.013445924043,0.165558333333,0.0193656248417,0.272418666667,0.0330819086034,9.98333333333,0.0270253139455,0.0907556666667,0.0166806075606,0.101797333333,0.0132965325494,0.121906,0.0211148093072,0.117164333333,0.0166668560294,0.0237816666667,0.00962783239542,0.0467276666667,0.00807417388302
GUIR1,0.296666666667,0.0359633463266,0.111094333333,0.0140766270132,0.17152,0.0207025281914,0.281083666667,0.034125509367,9.85666666667,0.0545159102382,0.094196,0.0174057931877,0.103741666667,0.013462057888,0.120679,0.0202872105474,0.118276,0.0162471674884,0.0220186666667,0.00856948218324,0.0459213333333,0.00749166577072
terrier.BM25uGFI,0.0993333333333,0.0189299257126,0.045767,0.00772563371308,0.139832333333,0.0177898247198,0.0854086666667,0.0166832943338,7.16333333333,0.240976091348,0.0174483333333,0.00598243521349,0.0271696666667,0.00604151201142,0.0389146666667,0.0104658977704,0.0364673333333,0.00839876149462,0.00204133333333,0.00235132531692,0.012415,0.00338505498608
ecnu1,0.291,0.0352044385683,0.103480333333,0.0134966977256,0.165756333333,0.0194029431548,0.274018333333,0.0331257889317,10.0,0.0,0.0928456666667,0.0171749218236,0.103404333333,0.0136615774072,0.120833666667,0.0211436977062,0.116710333333,0.0166249466565,0.0239286666667,0.00977774062173,0.0467693333333,0.00815862543176
MayoNLP2,0.263,0.0333617567956,0.093415,0.0128391063702,0.160527333333,0.0198049994283,0.254073333333,0.031811932877,9.29,0.171062384971,0.0906593333333,0.0162765364586,0.098587,0.0129198728844,0.126602666667,0.021807235087,0.115856666667,0.0169199248449,0.026864,0.00998052221525,0.0471933333333,0.00792250019569
terrier.BM25spam90,0.175333333333,0.0248799533896,0.022908,0.00428461212247,0.0466046666667,0.00537112933794,0.188212,0.026025037699,7.16,0.255187910962,0.0512966666667,0.011003697766,0.065798,0.0094587263064,0.114654,0.018967150531,0.0989476666667,0.014872672697,0.0141553333333,0.00580573941557,0.034442,0.00553229630912
KDEIR3,0.226333333333,0.0301552416013,0.041798,0.00615947424066,0.09083,0.00920675491289,0.223246666667,0.0289902808613,8.74333333333,0.16947336049,0.0639913333333,0.0137290663958,0.0788623333333,0.0117629566674,0.136094666667,0.0230213244665,0.115359333333,0.0175886057591,0.01915,0.00936342527142,0.0426683333333,0.00795240857971
terrier.BM25spam70,0.259666666667,0.0318947439815,0.0510126666667,0.00672383744721,0.103589666667,0.0101412035381,0.259297666667,0.0308066288548,9.37333333333,0.119757976735,0.083671,0.0151665219116,0.09946,0.013301959855,0.142644,0.0221882555725,0.127172333333,0.0174424136182,0.02599,0.0108939741614,0.0510233333333,0.00874633607918
ub-botswana1,0.245666666667,0.0331312959137,0.063781,0.0105066831992,0.100632,0.0152251514682,0.241104666667,0.0318572358891,8.93,0.261142339933,0.0799293333333,0.0152119531159,0.0897403333333,0.0124153174342,0.107998,0.0196747559301,0.104659333333,0.015893142269,0.02124,0.0082957420216,0.0411176666667,0.00717946330105
terrierBM252,0.314333333333,0.0381828533287,0.125375333333,0.0165444222308,0.192905,0.0225536131827,0.290586333333,0.0357330622938,9.77,0.0839228588735,0.09528,0.0184606041017,0.107585333333,0.0142897977209,0.132156,0.0224023365215,0.126789666667,0.0178278117308,0.023426,0.00958818764299,0.0493516666667,0.0082335993018
MayoNLP1,0.249666666667,0.0335621762636,0.0779396666667,0.0112186503395,0.143773,0.0173152039234,0.241625666667,0.0321931804925,9.53333333333,0.103197359291,0.0842356666667,0.0160270456299,0.090769,0.0125899789252,0.108548,0.0197166077211,0.103422666667,0.0157420778508,0.0197153333333,0.0083768953393,0.0410793333333,0.00736742106789
