name,value_p10,ci_p10,value_map,ci_map,value_bpref,ci_bpref,value_rbp,ci_rbp,value_cov,ci_cov,value_urbp,ci_urbp,value_urbpgr,ci_urbpgr,value_trbp,ci_trbp,value_trbpgr,ci_trbpgr,value_crbp,ci_crbp,value_crbpgr,ci_crbpgr
ecnu3,0.418,0.10022252174,0.201112,0.0495377346541,0.25581,0.0668440379375,0.384296,0.0944407810434,9.9,0.0861246529067,0.11136,0.0471885645743,0.139394,0.0362570083876,0.17751,0.0593932655867,0.1714,0.0480585592126,0.033256,0.0300960803708,0.065846,0.0226109823772
terrier.LMDir.rbp2,0.282,0.0811361477559,0.09301,0.0286310169101,0.160752,0.046961571492,0.281562,0.0825820041386,10.0,0.0,0.123284,0.0503147581464,0.120394,0.03624479018,0.140554,0.0592318710934,0.128954,0.0452584726739,0.03977,0.0346266202929,0.060352,0.0247423237179
terrier.BM25.rrf2,0.404,0.10205922783,0.219676,0.0515715324721,0.251238,0.066392657927,0.380168,0.0949825035004,9.96,0.0562563877055,0.11175,0.0486192309114,0.138786,0.0371921473374,0.172284,0.0603710228335,0.165818,0.0490598398232,0.033386,0.028991260489,0.063674,0.0225462891433
WHUIRGroup2,0.276,0.0871822769471,0.096566,0.0256984217816,0.185006,0.0473554998999,0.269758,0.0831181163875,8.98,0.415981974477,0.08986,0.0422302069558,0.10214,0.0337518455228,0.129164,0.0571683672996,0.120972,0.0464125650776,0.022518,0.0272328771445,0.048998,0.0226538584433
indri.OKAPI.rbp2,0.314,0.0876442654493,0.151448,0.0418706177265,0.20594,0.0567827095992,0.314522,0.0869869712576,10.0,0.0,0.105614,0.0498924117664,0.116894,0.0369852153386,0.131116,0.0545362847632,0.129402,0.0441921529383,0.026106,0.0242851902512,0.053536,0.0217473234004
GUIR2,0.372,0.0938262556729,0.168952,0.0408980787888,0.231654,0.059474677554,0.34951,0.0903169490104,9.46,0.325860401298,0.116638,0.0477144885707,0.132794,0.0340310788421,0.170336,0.0623957486054,0.158008,0.0472591441454,0.025148,0.0255836156147,0.06042,0.0197460864127
InfoLab3,0.24,0.0843845815583,0.096662,0.0332956457079,0.152298,0.0511514206891,0.211324,0.0771631366866,9.44,0.276315662656,0.060796,0.0346505898568,0.077638,0.0316357977216,0.10771,0.0558657858994,0.096398,0.0434238653219,0.02252,0.0268484445279,0.03715,0.0214281138389
WHUIRGroup3,0.108,0.0519420440194,0.018438,0.00729267815924,0.079508,0.0282087325367,0.10923,0.0497411722291,9.1,0.331079316864,0.037046,0.0246502172213,0.043724,0.0212301549866,0.066628,0.0360241737873,0.059892,0.0291645232051,0.014344,0.0132283506467,0.025258,0.0137057313585
indri.TFIDF.rrf1,0.384,0.106392515122,0.19021,0.0521917361813,0.229406,0.0655897653955,0.35931,0.0974793500565,9.94,0.0681782393828,0.104096,0.0489057469431,0.1291,0.0372396634264,0.169718,0.0585069597931,0.156954,0.0488155944819,0.02671,0.0236824555503,0.05877,0.0208243642489
indri.TFIDF.rbp2,0.316,0.0904850959366,0.154092,0.0443507068404,0.209046,0.0584282290255,0.310626,0.0889352759241,10.0,0.0,0.104184,0.0494684240382,0.117154,0.0371256909085,0.144586,0.0575574674527,0.132414,0.0452570955316,0.024834,0.0254554350012,0.053918,0.0220977992936
